Distance (µm),Zn Lα1_2 (counts),
33.2904108966087,208,
33.3665903265781,221,
33.4427697565474,237,
33.5189491865168,228,
33.5951286164861,231,
33.6713080464555,231,
33.7474874764249,215,
33.8236669063942,220,
33.8998463363636,208,
33.9760257663329,206,
34.0522051963023,236,
34.1283846262716,234,
34.204564056241,245,
34.2807434862104,237,
34.3569229161797,223,
34.4331023461491,203,
34.5092817761184,223,
34.5854612060878,238,
34.6616406360571,247,
34.7378200660265,265,
34.8139994959958,265,
34.8901789259652,287,
34.9663583559346,259,
35.0425377859039,244,
35.1187172158733,253,
35.1948966458426,277,
35.271076075812,253,
35.3472555057813,269,
35.4234349357507,254,
35.49961436572,232,
35.5757937956894,259,
35.6519732256588,222,
35.7281526556281,227,
35.8043320855975,246,
35.8805115155668,286,
35.9566909455362,266,
36.0328703755055,261,
36.1090498054749,286,
36.1852292354443,259,
36.2614086654136,250,
36.337588095383,253,
36.4137675253523,273,
36.4899469553217,248,
36.566126385291,250,
36.6423058152604,230,
36.7184852452298,265,
36.7946646751991,266,
36.8708441051685,288,
36.9470235351378,265,
37.0232029651072,241,
37.0993823950765,250,
37.1755618250459,222,
37.2517412550152,237,
37.3279206849846,250,
37.404100114954,242,
37.4802795449233,263,
37.5564589748927,267,
37.632638404862,258,
37.7088178348314,259,
37.7849972648007,258,
37.8611766947701,259,
37.9373561247395,258,
38.0135355547088,253,
